Q6 | 0 | Маркер уничтожен из конечной очереди | 
Q6 | 21 | Маркер уничтожен из конечной очереди | 
Q6 | 22 | Позиция маркирована | Маркер #10
P6 | 22 | Маркер покинул позицию | Маркер #10
P5 | 22 | Маркер покинул позицию | Маркер #10
Q2 | 22 | Позиция маркирована | Маркер #11
Q5 | 22 | Позиция маркирована | Маркер #11
Q6 | 22 | Маркер уничтожен из конечной очереди | 
P6 | 23 | Позиция маркирована | Маркер #11
P5 | 23 | Позиция маркирована | Маркер #11
Q6 | 23 | Маркер уничтожен из конечной очереди | 
Q6 | 24 | Позиция маркирована | Маркер #11
P6 | 24 | Маркер покинул позицию | Маркер #11
P5 | 24 | Маркер покинул позицию | Маркер #11
Q2 | 24 | Позиция маркирована | Маркер #12
Q5 | 24 | Позиция маркирована | Маркер #12
Q6 | 24 | Маркер уничтожен из конечной очереди | 
P6 | 25 | Позиция маркирована | Маркер #12
P5 | 25 | Позиция маркирована | Маркер #12
Q6 | 25 | Маркер уничтожен из конечной очереди | 
Q6 | 26 | Позиция маркирована | Маркер #12
P6 | 26 | Маркер покинул позицию | Маркер #12
P5 | 26 | Маркер покинул позицию | Маркер #12
Q2 | 26 | Позиция маркирована | Маркер #13
Q5 | 26 | Позиция маркирована | Маркер #13
Q6 | 26 | Маркер уничтожен из конечной очереди | 
P6 | 27 | Позиция маркирована | Маркер #13
P5 | 27 | Позиция маркирована | Маркер #13
Q6 | 27 | Маркер уничтожен из конечной очереди | 
Q6 | 28 | Позиция маркирована | Маркер #13
P6 | 28 | Маркер покинул позицию | Маркер #13
P5 | 28 | Маркер покинул позицию | Маркер #13
Q2 | 28 | Позиция маркирована | Маркер #14
Q5 | 28 | Позиция маркирована | Маркер #14
Q6 | 28 | Маркер уничтожен из конечной очереди | 
P6 | 29 | Позиция маркирована | Маркер #14
P5 | 29 | Позиция маркирована | Маркер #14
Q6 | 29 | Маркер уничтожен из конечной очереди | 
Q6 | 30 | Позиция маркирована | Маркер #14
P6 | 30 | Маркер покинул позицию | Маркер #14
P5 | 30 | Маркер покинул позицию | Маркер #14
Q2 | 30 | Позиция маркирована | Маркер #15
Q5 | 30 | Позиция маркирована | Маркер #15
Q6 | 30 | Маркер уничтожен из конечной очереди | 
P6 | 31 | Позиция маркирована | Маркер #15
P5 | 31 | Позиция маркирована | Маркер #15
Q6 | 31 | Маркер уничтожен из конечной очереди | 
Q6 | 32 | Позиция маркирована | Маркер #15
P6 | 32 | Маркер покинул позицию | Маркер #15
P5 | 32 | Маркер покинул позицию | Маркер #15
Q2 | 32 | Позиция маркирована | Маркер #16
Q5 | 32 | Позиция маркирована | Маркер #16
Q6 | 32 | Маркер уничтожен из конечной очереди | 
P6 | 33 | Позиция маркирована | Маркер #16
P5 | 33 | Позиция маркирована | Маркер #16
Q6 | 33 | Маркер уничтожен из конечной очереди | 
Q6 | 34 | Позиция маркирована | Маркер #16
P6 | 34 | Маркер покинул позицию | Маркер #16
P5 | 34 | Маркер покинул позицию | Маркер #16
Q2 | 34 | Позиция маркирована | Маркер #17
Q5 | 34 | Позиция маркирована | Маркер #17
Q6 | 34 | Маркер уничтожен из конечной очереди | 
P6 | 35 | Позиция маркирована | Маркер #17
P5 | 35 | Позиция маркирована | Маркер #17
Q6 | 35 | Маркер уничтожен из конечной очереди | 
Q6 | 36 | Позиция маркирована | Маркер #17
P6 | 36 | Маркер покинул позицию | Маркер #17
P5 | 36 | Маркер покинул позицию | Маркер #17
Q2 | 36 | Позиция маркирована | Маркер #18
Q5 | 36 | Позиция маркирована | Маркер #18
Q6 | 36 | Маркер уничтожен из конечной очереди | 
P6 | 37 | Позиция маркирована | Маркер #18
P5 | 37 | Позиция маркирована | Маркер #18
Q6 | 37 | Маркер уничтожен из конечной очереди | 
Q6 | 38 | Позиция маркирована | Маркер #18
P6 | 38 | Маркер покинул позицию | Маркер #18
P5 | 38 | Маркер покинул позицию | Маркер #18
Q2 | 38 | Позиция маркирована | Маркер #19
Q5 | 38 | Позиция маркирована | Маркер #19
Q6 | 38 | Маркер уничтожен из конечной очереди | 
P6 | 39 | Позиция маркирована | Маркер #19
P5 | 39 | Позиция маркирована | Маркер #19
Q6 | 39 | Маркер уничтожен из конечной очереди | 
Q6 | 40 | Позиция маркирована | Маркер #19
P6 | 40 | Маркер покинул позицию | Маркер #19
P5 | 40 | Маркер покинул позицию | Маркер #19
Q2 | 40 | Позиция маркирована | Маркер #20
Q5 | 40 | Позиция маркирована | Маркер #20
Q6 | 40 | Маркер уничтожен из конечной очереди | 
P6 | 41 | Позиция маркирована | Маркер #20
P5 | 41 | Позиция маркирована | Маркер #20
Q6 | 41 | Маркер уничтожен из конечной очереди | 
Q6 | 42 | Позиция маркирована | Маркер #20
P6 | 42 | Маркер покинул позицию | Маркер #20
P5 | 42 | Маркер покинул позицию | Маркер #20
Q2 | 42 | Позиция маркирована | Маркер #21
Q5 | 42 | Позиция маркирована | Маркер #21
Q6 | 42 | Маркер уничтожен из конечной очереди | 
P6 | 43 | Позиция маркирована | Маркер #21
P5 | 43 | Позиция маркирована | Маркер #21
Q6 | 43 | Маркер уничтожен из конечной очереди | 
Q6 | 44 | Позиция маркирована | Маркер #21
P6 | 44 | Маркер покинул позицию | Маркер #21
P5 | 44 | Маркер покинул позицию | Маркер #21
Q2 | 44 | Позиция маркирована | Маркер #22
Q5 | 44 | Позиция маркирована | Маркер #22
Q6 | 44 | Маркер уничтожен из конечной очереди | 
P6 | 45 | Позиция маркирована | Маркер #22
P5 | 45 | Позиция маркирована | Маркер #22
Q6 | 45 | Маркер уничтожен из конечной очереди | 
Q6 | 46 | Позиция маркирована | Маркер #22
P6 | 46 | Маркер покинул позицию | Маркер #22
P5 | 46 | Маркер покинул позицию | Маркер #22
Q2 | 46 | Позиция маркирована | Маркер #23
Q5 | 46 | Позиция маркирована | Маркер #23
Q6 | 46 | Маркер уничтожен из конечной очереди | 
P6 | 47 | Позиция маркирована | Маркер #23
P5 | 47 | Позиция маркирована | Маркер #23
Q6 | 47 | Маркер уничтожен из конечной очереди | 
Q6 | 48 | Позиция маркирована | Маркер #23
P6 | 48 | Маркер покинул позицию | Маркер #23
P5 | 48 | Маркер покинул позицию | Маркер #23
Q2 | 48 | Позиция маркирована | Маркер #24
Q5 | 48 | Позиция маркирована | Маркер #24
Q6 | 48 | Маркер уничтожен из конечной очереди | 
P6 | 49 | Позиция маркирована | Маркер #24
P5 | 49 | Позиция маркирована | Маркер #24
Q6 | 49 | Маркер уничтожен из конечной очереди | 
Q6 | 50 | Позиция маркирована | Маркер #24
P6 | 50 | Маркер покинул позицию | Маркер #24
P5 | 50 | Маркер покинул позицию | Маркер #24
Q2 | 50 | Позиция маркирована | Маркер #25
Q5 | 50 | Позиция маркирована | Маркер #25
Q6 | 50 | Маркер уничтожен из конечной очереди | 
P6 | 51 | Позиция маркирована | Маркер #25
P5 | 51 | Позиция маркирована | Маркер #25
Q6 | 51 | Маркер уничтожен из конечной очереди | 
Q6 | 52 | Позиция маркирована | Маркер #25
P6 | 52 | Маркер покинул позицию | Маркер #25
P5 | 52 | Маркер покинул позицию | Маркер #25
Q2 | 52 | Позиция маркирована | Маркер #26
Q5 | 52 | Позиция маркирована | Маркер #26
Q6 | 52 | Маркер уничтожен из конечной очереди | 
P6 | 53 | Позиция маркирована | Маркер #26
P5 | 53 | Позиция маркирована | Маркер #26
Q6 | 53 | Маркер уничтожен из конечной очереди | 
Q6 | 54 | Позиция маркирована | Маркер #26
P6 | 54 | Маркер покинул позицию | Маркер #26
P5 | 54 | Маркер покинул позицию | Маркер #26
Q2 | 54 | Позиция маркирована | Маркер #27
Q5 | 54 | Позиция маркирована | Маркер #27
Q6 | 54 | Маркер уничтожен из конечной очереди | 
P6 | 55 | Позиция маркирована | Маркер #27
P5 | 55 | Позиция маркирована | Маркер #27
Q6 | 55 | Маркер уничтожен из конечной очереди | 
Q6 | 56 | Позиция маркирована | Маркер #27
P6 | 56 | Маркер покинул позицию | Маркер #27
P5 | 56 | Маркер покинул позицию | Маркер #27
Q2 | 56 | Позиция маркирована | Маркер #28
Q5 | 56 | Позиция маркирована | Маркер #28
Q6 | 56 | Маркер уничтожен из конечной очереди | 
P6 | 57 | Позиция маркирована | Маркер #28
P5 | 57 | Позиция маркирована | Маркер #28
Q6 | 57 | Маркер уничтожен из конечной очереди | 
Q6 | 58 | Позиция маркирована | Маркер #28
P6 | 58 | Маркер покинул позицию | Маркер #28
P5 | 58 | Маркер покинул позицию | Маркер #28
Q2 | 58 | Позиция маркирована | Маркер #29
Q5 | 58 | Позиция маркирована | Маркер #29
Q6 | 58 | Маркер уничтожен из конечной очереди | 
P6 | 59 | Позиция маркирована | Маркер #29
P5 | 59 | Позиция маркирована | Маркер #29
Q6 | 59 | Маркер уничтожен из конечной очереди | 
Q6 | 60 | Позиция маркирована | Маркер #29
P6 | 60 | Маркер покинул позицию | Маркер #29
P5 | 60 | Маркер покинул позицию | Маркер #29
Q2 | 60 | Позиция маркирована | Маркер #30
Q5 | 60 | Позиция маркирована | Маркер #30
Q6 | 60 | Маркер уничтожен из конечной очереди | 
P6 | 61 | Позиция маркирована | Маркер #30
P5 | 61 | Позиция маркирована | Маркер #30
Q6 | 61 | Маркер уничтожен из конечной очереди | 
Q6 | 62 | Позиция маркирована | Маркер #30
P6 | 62 | Маркер покинул позицию | Маркер #30
P5 | 62 | Маркер покинул позицию | Маркер #30
Q2 | 62 | Позиция маркирована | Маркер #31
Q5 | 62 | Позиция маркирована | Маркер #31
Q6 | 62 | Маркер уничтожен из конечной очереди | 
P6 | 63 | Позиция маркирована | Маркер #31
P5 | 63 | Позиция маркирована | Маркер #31
Q6 | 63 | Маркер уничтожен из конечной очереди | 
Q6 | 64 | Позиция маркирована | Маркер #31
P6 | 64 | Маркер покинул позицию | Маркер #31
P5 | 64 | Маркер покинул позицию | Маркер #31
Q2 | 64 | Позиция маркирована | Маркер #32
Q5 | 64 | Позиция маркирована | Маркер #32
Q6 | 64 | Маркер уничтожен из конечной очереди | 
P6 | 65 | Позиция маркирована | Маркер #32
P5 | 65 | Позиция маркирована | Маркер #32
Q6 | 65 | Маркер уничтожен из конечной очереди | 
Q6 | 66 | Позиция маркирована | Маркер #32
P6 | 66 | Маркер покинул позицию | Маркер #32
P5 | 66 | Маркер покинул позицию | Маркер #32
Q2 | 66 | Позиция маркирована | Маркер #33
Q5 | 66 | Позиция маркирована | Маркер #33
Q6 | 66 | Маркер уничтожен из конечной очереди | 
P6 | 67 | Позиция маркирована | Маркер #33
P5 | 67 | Позиция маркирована | Маркер #33
Q6 | 67 | Маркер уничтожен из конечной очереди | 
Q6 | 68 | Позиция маркирована | Маркер #33
P6 | 68 | Маркер покинул позицию | Маркер #33
P5 | 68 | Маркер покинул позицию | Маркер #33
Q2 | 68 | Позиция маркирована | Маркер #34
Q5 | 68 | Позиция маркирована | Маркер #34
Q6 | 68 | Маркер уничтожен из конечной очереди | 
P6 | 69 | Позиция маркирована | Маркер #34
P5 | 69 | Позиция маркирована | Маркер #34
Q6 | 69 | Маркер уничтожен из конечной очереди | 
Q6 | 70 | Позиция маркирована | Маркер #34
P6 | 70 | Маркер покинул позицию | Маркер #34
P5 | 70 | Маркер покинул позицию | Маркер #34
Q2 | 70 | Позиция маркирована | Маркер #35
Q5 | 70 | Позиция маркирована | Маркер #35
Q6 | 70 | Маркер уничтожен из конечной очереди | 
P6 | 71 | Позиция маркирована | Маркер #35
P5 | 71 | Позиция маркирована | Маркер #35
Q6 | 71 | Маркер уничтожен из конечной очереди | 
Q6 | 72 | Позиция маркирована | Маркер #35
P6 | 72 | Маркер покинул позицию | Маркер #35
P5 | 72 | Маркер покинул позицию | Маркер #35
Q2 | 72 | Позиция маркирована | Маркер #36
Q5 | 72 | Позиция маркирована | Маркер #36
Q6 | 72 | Маркер уничтожен из конечной очереди | 
P6 | 73 | Позиция маркирована | Маркер #36
P5 | 73 | Позиция маркирована | Маркер #36
Q6 | 73 | Маркер уничтожен из конечной очереди | 
Q6 | 74 | Позиция маркирована | Маркер #36
P6 | 74 | Маркер покинул позицию | Маркер #36
P5 | 74 | Маркер покинул позицию | Маркер #36
Q2 | 74 | Позиция маркирована | Маркер #37
Q5 | 74 | Позиция маркирована | Маркер #37
Q6 | 74 | Маркер уничтожен из конечной очереди | 
P6 | 75 | Позиция маркирована | Маркер #37
P5 | 75 | Позиция маркирована | Маркер #37
Q6 | 75 | Маркер уничтожен из конечной очереди | 
Q6 | 76 | Позиция маркирована | Маркер #37
P6 | 76 | Маркер покинул позицию | Маркер #37
P5 | 76 | Маркер покинул позицию | Маркер #37
Q2 | 76 | Позиция маркирована | Маркер #38
Q5 | 76 | Позиция маркирована | Маркер #38
Q6 | 76 | Маркер уничтожен из конечной очереди | 
P6 | 77 | Позиция маркирована | Маркер #38
P5 | 77 | Позиция маркирована | Маркер #38
Q6 | 77 | Маркер уничтожен из конечной очереди | 
Q6 | 78 | Позиция маркирована | Маркер #38
P6 | 78 | Маркер покинул позицию | Маркер #38
P5 | 78 | Маркер покинул позицию | Маркер #38
Q2 | 78 | Позиция маркирована | Маркер #39
Q5 | 78 | Позиция маркирована | Маркер #39
Q6 | 78 | Маркер уничтожен из конечной очереди | 
P6 | 79 | Позиция маркирована | Маркер #39
P5 | 79 | Позиция маркирована | Маркер #39
Q6 | 79 | Маркер уничтожен из конечной очереди | 
Q6 | 80 | Позиция маркирована | Маркер #39
P6 | 80 | Маркер покинул позицию | Маркер #39
P5 | 80 | Маркер покинул позицию | Маркер #39
Q2 | 80 | Позиция маркирована | Маркер #40
Q5 | 80 | Позиция маркирована | Маркер #40
Q6 | 80 | Маркер уничтожен из конечной очереди | 
P6 | 81 | Позиция маркирована | Маркер #40
P5 | 81 | Позиция маркирована | Маркер #40
Q6 | 81 | Маркер уничтожен из конечной очереди | 
Q6 | 82 | Позиция маркирована | Маркер #40
P6 | 82 | Маркер покинул позицию | Маркер #40
P5 | 82 | Маркер покинул позицию | Маркер #40
Q2 | 82 | Позиция маркирована | Маркер #41
Q5 | 82 | Позиция маркирована | Маркер #41
Q6 | 82 | Маркер уничтожен из конечной очереди | 
P6 | 83 | Позиция маркирована | Маркер #41
P5 | 83 | Позиция маркирована | Маркер #41
Q6 | 83 | Маркер уничтожен из конечной очереди | 
Q6 | 84 | Позиция маркирована | Маркер #41
P6 | 84 | Маркер покинул позицию | Маркер #41
P5 | 84 | Маркер покинул позицию | Маркер #41
Q2 | 84 | Позиция маркирована | Маркер #42
Q5 | 84 | Позиция маркирована | Маркер #42
Q6 | 84 | Маркер уничтожен из конечной очереди | 
P6 | 85 | Позиция маркирована | Маркер #42
P5 | 85 | Позиция маркирована | Маркер #42
Q6 | 85 | Маркер уничтожен из конечной очереди | 
Q6 | 86 | Позиция маркирована | Маркер #42
P6 | 86 | Маркер покинул позицию | Маркер #42
P5 | 86 | Маркер покинул позицию | Маркер #42
Q2 | 86 | Позиция маркирована | Маркер #43
Q5 | 86 | Позиция маркирована | Маркер #43
Q6 | 86 | Маркер уничтожен из конечной очереди | 
P6 | 87 | Позиция маркирована | Маркер #43
P5 | 87 | Позиция маркирована | Маркер #43
Q6 | 87 | Маркер уничтожен из конечной очереди | 
Q6 | 88 | Позиция маркирована | Маркер #43
P6 | 88 | Маркер покинул позицию | Маркер #43
P5 | 88 | Маркер покинул позицию | Маркер #43
Q2 | 88 | Позиция маркирована | Маркер #44
Q5 | 88 | Позиция маркирована | Маркер #44
Q6 | 88 | Маркер уничтожен из конечной очереди | 
P6 | 89 | Позиция маркирована | Маркер #44
P5 | 89 | Позиция маркирована | Маркер #44
Q6 | 89 | Маркер уничтожен из конечной очереди | 
Q6 | 90 | Позиция маркирована | Маркер #44
P6 | 90 | Маркер покинул позицию | Маркер #44
P5 | 90 | Маркер покинул позицию | Маркер #44
Q2 | 90 | Позиция маркирована | Маркер #45
Q5 | 90 | Позиция маркирована | Маркер #45
Q6 | 90 | Маркер уничтожен из конечной очереди | 
P6 | 91 | Позиция маркирована | Маркер #45
P5 | 91 | Позиция маркирована | Маркер #45
Q6 | 91 | Маркер уничтожен из конечной очереди | 
Q6 | 92 | Позиция маркирована | Маркер #45
P6 | 92 | Маркер покинул позицию | Маркер #45
P5 | 92 | Маркер покинул позицию | Маркер #45
Q2 | 92 | Позиция маркирована | Маркер #46
Q5 | 92 | Позиция маркирована | Маркер #46
Q6 | 92 | Маркер уничтожен из конечной очереди | 
P6 | 93 | Позиция маркирована | Маркер #46
P5 | 93 | Позиция маркирована | Маркер #46
Q6 | 93 | Маркер уничтожен из конечной очереди | 
Q6 | 94 | Позиция маркирована | Маркер #46
P6 | 94 | Маркер покинул позицию | Маркер #46
P5 | 94 | Маркер покинул позицию | Маркер #46
Q2 | 94 | Позиция маркирована | Маркер #47
Q5 | 94 | Позиция маркирована | Маркер #47
Q6 | 94 | Маркер уничтожен из конечной очереди | 
P6 | 95 | Позиция маркирована | Маркер #47
P5 | 95 | Позиция маркирована | Маркер #47
Q6 | 95 | Маркер уничтожен из конечной очереди | 
Q6 | 96 | Позиция маркирована | Маркер #47
P6 | 96 | Маркер покинул позицию | Маркер #47
P5 | 96 | Маркер покинул позицию | Маркер #47
Q2 | 96 | Позиция маркирована | Маркер #48
Q5 | 96 | Позиция маркирована | Маркер #48
Q6 | 96 | Маркер уничтожен из конечной очереди | 
P6 | 97 | Позиция маркирована | Маркер #48
P5 | 97 | Позиция маркирована | Маркер #48
Q6 | 97 | Маркер уничтожен из конечной очереди | 
Q6 | 98 | Позиция маркирована | Маркер #48
P6 | 98 | Маркер покинул позицию | Маркер #48
P5 | 98 | Маркер покинул позицию | Маркер #48
Q2 | 98 | Позиция маркирована | Маркер #49
Q5 | 98 | Позиция маркирована | Маркер #49
Q6 | 98 | Маркер уничтожен из конечной очереди | 
P6 | 99 | Позиция маркирована | Маркер #49
P5 | 99 | Позиция маркирована | Маркер #49
Q6 | 99 | Маркер уничтожен из конечной очереди | 
Q6 | 100 | Позиция маркирована | Маркер #49
P6 | 100 | Маркер покинул позицию | Маркер #49
P5 | 100 | Маркер покинул позицию | Маркер #49
Q2 | 100 | Позиция маркирована | Маркер #50
Q5 | 100 | Позиция маркирована | Маркер #50
Q6 | 100 | Маркер уничтожен из конечной очереди | 
P6 | 101 | Позиция маркирована | Маркер #50
P5 | 101 | Позиция маркирована | Маркер #50
Q6 | 101 | Маркер уничтожен из конечной очереди | 
Q6 | 102 | Позиция маркирована | Маркер #50
P6 | 102 | Маркер покинул позицию | Маркер #50
P5 | 102 | Маркер покинул позицию | Маркер #50
Q2 | 102 | Позиция маркирована | Маркер #51
Q5 | 102 | Позиция маркирована | Маркер #51
Q6 | 102 | Маркер уничтожен из конечной очереди | 
P6 | 103 | Позиция маркирована | Маркер #51
P5 | 103 | Позиция маркирована | Маркер #51
Q6 | 103 | Маркер уничтожен из конечной очереди | 
Q6 | 104 | Позиция маркирована | Маркер #51
P6 | 104 | Маркер покинул позицию | Маркер #51
P5 | 104 | Маркер покинул позицию | Маркер #51
Q2 | 104 | Позиция маркирована | Маркер #52
Q5 | 104 | Позиция маркирована | Маркер #52
Q6 | 104 | Маркер уничтожен из конечной очереди | 
P6 | 105 | Позиция маркирована | Маркер #52
P5 | 105 | Позиция маркирована | Маркер #52
Q6 | 105 | Маркер уничтожен из конечной очереди | 
Q6 | 106 | Позиция маркирована | Маркер #52
P6 | 106 | Маркер покинул позицию | Маркер #52
P5 | 106 | Маркер покинул позицию | Маркер #52
Q2 | 106 | Позиция маркирована | Маркер #53
Q5 | 106 | Позиция маркирована | Маркер #53
Q6 | 106 | Маркер уничтожен из конечной очереди | 
P6 | 107 | Позиция маркирована | Маркер #53
P5 | 107 | Позиция маркирована | Маркер #53
Q6 | 107 | Маркер уничтожен из конечной очереди | 
Q6 | 108 | Позиция маркирована | Маркер #53
P6 | 108 | Маркер покинул позицию | Маркер #53
P5 | 108 | Маркер покинул позицию | Маркер #53
Q2 | 108 | Позиция маркирована | Маркер #54
Q5 | 108 | Позиция маркирована | Маркер #54
Q6 | 108 | Маркер уничтожен из конечной очереди | 
P6 | 109 | Позиция маркирована | Маркер #54
P5 | 109 | Позиция маркирована | Маркер #54
Q6 | 109 | Маркер уничтожен из конечной очереди | 
Q6 | 110 | Позиция маркирована | Маркер #54
P6 | 110 | Маркер покинул позицию | Маркер #54
P5 | 110 | Маркер покинул позицию | Маркер #54
Q2 | 110 | Позиция маркирована | Маркер #55
Q5 | 110 | Позиция маркирована | Маркер #55
Q6 | 110 | Маркер уничтожен из конечной очереди | 
P6 | 111 | Позиция маркирована | Маркер #55
P5 | 111 | Позиция маркирована | Маркер #55
Q6 | 111 | Маркер уничтожен из конечной очереди | 
Q6 | 112 | Позиция маркирована | Маркер #55
P6 | 112 | Маркер покинул позицию | Маркер #55
P5 | 112 | Маркер покинул позицию | Маркер #55
Q2 | 112 | Позиция маркирована | Маркер #56
Q5 | 112 | Позиция маркирована | Маркер #56
Q6 | 112 | Маркер уничтожен из конечной очереди | 
P6 | 113 | Позиция маркирована | Маркер #56
P5 | 113 | Позиция маркирована | Маркер #56
Q6 | 113 | Маркер уничтожен из конечной очереди | 
Q6 | 114 | Позиция маркирована | Маркер #56
P6 | 114 | Маркер покинул позицию | Маркер #56
P5 | 114 | Маркер покинул позицию | Маркер #56
Q2 | 114 | Позиция маркирована | Маркер #57
Q5 | 114 | Позиция маркирована | Маркер #57
Q6 | 114 | Маркер уничтожен из конечной очереди | 
P6 | 115 | Позиция маркирована | Маркер #57
P5 | 115 | Позиция маркирована | Маркер #57
Q6 | 115 | Маркер уничтожен из конечной очереди | 
Q6 | 116 | Позиция маркирована | Маркер #57
P6 | 116 | Маркер покинул позицию | Маркер #57
P5 | 116 | Маркер покинул позицию | Маркер #57
Q2 | 116 | Позиция маркирована | Маркер #58
Q5 | 116 | Позиция маркирована | Маркер #58
Q6 | 116 | Маркер уничтожен из конечной очереди | 
P6 | 117 | Позиция маркирована | Маркер #58
P5 | 117 | Позиция маркирована | Маркер #58
Q6 | 117 | Маркер уничтожен из конечной очереди | 
Q6 | 118 | Позиция маркирована | Маркер #58
P6 | 118 | Маркер покинул позицию | Маркер #58
P5 | 118 | Маркер покинул позицию | Маркер #58
Q2 | 118 | Позиция маркирована | Маркер #59
Q5 | 118 | Позиция маркирована | Маркер #59
Q6 | 118 | Маркер уничтожен из конечной очереди | 
P6 | 119 | Позиция маркирована | Маркер #59
P5 | 119 | Позиция маркирована | Маркер #59
Q6 | 119 | Маркер уничтожен из конечной очереди | 
Q6 | 120 | Позиция маркирована | Маркер #59
P6 | 120 | Маркер покинул позицию | Маркер #59
P5 | 120 | Маркер покинул позицию | Маркер #59
Q2 | 120 | Позиция маркирована | Маркер #60
Q5 | 120 | Позиция маркирована | Маркер #60
Q6 | 120 | Маркер уничтожен из конечной очереди | 
P6 | 121 | Позиция маркирована | Маркер #60
P5 | 121 | Позиция маркирована | Маркер #60
Q6 | 121 | Маркер уничтожен из конечной очереди | 
Q6 | 122 | Позиция маркирована | Маркер #60
P6 | 122 | Маркер покинул позицию | Маркер #60
P5 | 122 | Маркер покинул позицию | Маркер #60
Q2 | 122 | Позиция маркирована | Маркер #61
Q5 | 122 | Позиция маркирована | Маркер #61
