T1 - F | 1 | Маркер иниц. срабатывание перехода | Маркер #1
T4 - T | 44 | Маркер иниц. срабатывание перехода | Маркер #22
T4 - T | 45 | Переход завершил работу | Маркер #22
T2 - T | 45 | Переход завершил работу | Маркер #22
T1 - F | 45 | Маркер иниц. срабатывание перехода | Маркер #23
T5 - J | 45 | Маркер иниц. срабатывание перехода | Маркер #22
T5 - J | 46 | Переход завершил работу | Маркер #22
T1 - F | 46 | Переход завершил работу | Маркер #23
T2 - T | 46 | Маркер иниц. срабатывание перехода | Маркер #23
T4 - T | 46 | Маркер иниц. срабатывание перехода | Маркер #23
T4 - T | 47 | Переход завершил работу | Маркер #23
T2 - T | 47 | Переход завершил работу | Маркер #23
T1 - F | 47 | Маркер иниц. срабатывание перехода | Маркер #24
T5 - J | 47 | Маркер иниц. срабатывание перехода | Маркер #23
T5 - J | 48 | Переход завершил работу | Маркер #23
T1 - F | 48 | Переход завершил работу | Маркер #24
T2 - T | 48 | Маркер иниц. срабатывание перехода | Маркер #24
T4 - T | 48 | Маркер иниц. срабатывание перехода | Маркер #24
T4 - T | 49 | Переход завершил работу | Маркер #24
T2 - T | 49 | Переход завершил работу | Маркер #24
T1 - F | 49 | Маркер иниц. срабатывание перехода | Маркер #25
T5 - J | 49 | Маркер иниц. срабатывание перехода | Маркер #24
T5 - J | 50 | Переход завершил работу | Маркер #24
T1 - F | 50 | Переход завершил работу | Маркер #25
T2 - T | 50 | Маркер иниц. срабатывание перехода | Маркер #25
T4 - T | 50 | Маркер иниц. срабатывание перехода | Маркер #25
T4 - T | 51 | Переход завершил работу | Маркер #25
T2 - T | 51 | Переход завершил работу | Маркер #25
T1 - F | 51 | Маркер иниц. срабатывание перехода | Маркер #26
T5 - J | 51 | Маркер иниц. срабатывание перехода | Маркер #25
T5 - J | 52 | Переход завершил работу | Маркер #25
T1 - F | 52 | Переход завершил работу | Маркер #26
T2 - T | 52 | Маркер иниц. срабатывание перехода | Маркер #26
T4 - T | 52 | Маркер иниц. срабатывание перехода | Маркер #26
T4 - T | 53 | Переход завершил работу | Маркер #26
T2 - T | 53 | Переход завершил работу | Маркер #26
T1 - F | 53 | Маркер иниц. срабатывание перехода | Маркер #27
T5 - J | 53 | Маркер иниц. срабатывание перехода | Маркер #26
T5 - J | 54 | Переход завершил работу | Маркер #26
T1 - F | 54 | Переход завершил работу | Маркер #27
T2 - T | 54 | Маркер иниц. срабатывание перехода | Маркер #27
T4 - T | 54 | Маркер иниц. срабатывание перехода | Маркер #27
T4 - T | 55 | Переход завершил работу | Маркер #27
T2 - T | 55 | Переход завершил работу | Маркер #27
T1 - F | 55 | Маркер иниц. срабатывание перехода | Маркер #28
T5 - J | 55 | Маркер иниц. срабатывание перехода | Маркер #27
T5 - J | 56 | Переход завершил работу | Маркер #27
T1 - F | 56 | Переход завершил работу | Маркер #28
T2 - T | 56 | Маркер иниц. срабатывание перехода | Маркер #28
T4 - T | 56 | Маркер иниц. срабатывание перехода | Маркер #28
T4 - T | 57 | Переход завершил работу | Маркер #28
T2 - T | 57 | Переход завершил работу | Маркер #28
T1 - F | 57 | Маркер иниц. срабатывание перехода | Маркер #29
T5 - J | 57 | Маркер иниц. срабатывание перехода | Маркер #28
T5 - J | 58 | Переход завершил работу | Маркер #28
T1 - F | 58 | Переход завершил работу | Маркер #29
T2 - T | 58 | Маркер иниц. срабатывание перехода | Маркер #29
T4 - T | 58 | Маркер иниц. срабатывание перехода | Маркер #29
T4 - T | 59 | Переход завершил работу | Маркер #29
T2 - T | 59 | Переход завершил работу | Маркер #29
T1 - F | 59 | Маркер иниц. срабатывание перехода | Маркер #30
T5 - J | 59 | Маркер иниц. срабатывание перехода | Маркер #29
T5 - J | 60 | Переход завершил работу | Маркер #29
T1 - F | 60 | Переход завершил работу | Маркер #30
T2 - T | 60 | Маркер иниц. срабатывание перехода | Маркер #30
T4 - T | 60 | Маркер иниц. срабатывание перехода | Маркер #30
T4 - T | 61 | Переход завершил работу | Маркер #30
T2 - T | 61 | Переход завершил работу | Маркер #30
T1 - F | 61 | Маркер иниц. срабатывание перехода | Маркер #31
T5 - J | 61 | Маркер иниц. срабатывание перехода | Маркер #30
T5 - J | 62 | Переход завершил работу | Маркер #30
T1 - F | 62 | Переход завершил работу | Маркер #31
T2 - T | 62 | Маркер иниц. срабатывание перехода | Маркер #31
T4 - T | 62 | Маркер иниц. срабатывание перехода | Маркер #31
T4 - T | 63 | Переход завершил работу | Маркер #31
T2 - T | 63 | Переход завершил работу | Маркер #31
T1 - F | 63 | Маркер иниц. срабатывание перехода | Маркер #32
T5 - J | 63 | Маркер иниц. срабатывание перехода | Маркер #31
T5 - J | 64 | Переход завершил работу | Маркер #31
T1 - F | 64 | Переход завершил работу | Маркер #32
T2 - T | 64 | Маркер иниц. срабатывание перехода | Маркер #32
T4 - T | 64 | Маркер иниц. срабатывание перехода | Маркер #32
T4 - T | 65 | Переход завершил работу | Маркер #32
T2 - T | 65 | Переход завершил работу | Маркер #32
T1 - F | 65 | Маркер иниц. срабатывание перехода | Маркер #33
T5 - J | 65 | Маркер иниц. срабатывание перехода | Маркер #32
T5 - J | 66 | Переход завершил работу | Маркер #32
T1 - F | 66 | Переход завершил работу | Маркер #33
T2 - T | 66 | Маркер иниц. срабатывание перехода | Маркер #33
T4 - T | 66 | Маркер иниц. срабатывание перехода | Маркер #33
T4 - T | 67 | Переход завершил работу | Маркер #33
T2 - T | 67 | Переход завершил работу | Маркер #33
T1 - F | 67 | Маркер иниц. срабатывание перехода | Маркер #34
T5 - J | 67 | Маркер иниц. срабатывание перехода | Маркер #33
T5 - J | 68 | Переход завершил работу | Маркер #33
T1 - F | 68 | Переход завершил работу | Маркер #34
T2 - T | 68 | Маркер иниц. срабатывание перехода | Маркер #34
T4 - T | 68 | Маркер иниц. срабатывание перехода | Маркер #34
T4 - T | 69 | Переход завершил работу | Маркер #34
T2 - T | 69 | Переход завершил работу | Маркер #34
T1 - F | 69 | Маркер иниц. срабатывание перехода | Маркер #35
T5 - J | 69 | Маркер иниц. срабатывание перехода | Маркер #34
T5 - J | 70 | Переход завершил работу | Маркер #34
T1 - F | 70 | Переход завершил работу | Маркер #35
T2 - T | 70 | Маркер иниц. срабатывание перехода | Маркер #35
T4 - T | 70 | Маркер иниц. срабатывание перехода | Маркер #35
T4 - T | 71 | Переход завершил работу | Маркер #35
T2 - T | 71 | Переход завершил работу | Маркер #35
T1 - F | 71 | Маркер иниц. срабатывание перехода | Маркер #36
T5 - J | 71 | Маркер иниц. срабатывание перехода | Маркер #35
T5 - J | 72 | Переход завершил работу | Маркер #35
T1 - F | 72 | Переход завершил работу | Маркер #36
T2 - T | 72 | Маркер иниц. срабатывание перехода | Маркер #36
T4 - T | 72 | Маркер иниц. срабатывание перехода | Маркер #36
T4 - T | 73 | Переход завершил работу | Маркер #36
T2 - T | 73 | Переход завершил работу | Маркер #36
T1 - F | 73 | Маркер иниц. срабатывание перехода | Маркер #37
T5 - J | 73 | Маркер иниц. срабатывание перехода | Маркер #36
T5 - J | 74 | Переход завершил работу | Маркер #36
T1 - F | 74 | Переход завершил работу | Маркер #37
T2 - T | 74 | Маркер иниц. срабатывание перехода | Маркер #37
T4 - T | 74 | Маркер иниц. срабатывание перехода | Маркер #37
T4 - T | 75 | Переход завершил работу | Маркер #37
T2 - T | 75 | Переход завершил работу | Маркер #37
T1 - F | 75 | Маркер иниц. срабатывание перехода | Маркер #38
T5 - J | 75 | Маркер иниц. срабатывание перехода | Маркер #37
T5 - J | 76 | Переход завершил работу | Маркер #37
T1 - F | 76 | Переход завершил работу | Маркер #38
T2 - T | 76 | Маркер иниц. срабатывание перехода | Маркер #38
T4 - T | 76 | Маркер иниц. срабатывание перехода | Маркер #38
T4 - T | 77 | Переход завершил работу | Маркер #38
T2 - T | 77 | Переход завершил работу | Маркер #38
T1 - F | 77 | Маркер иниц. срабатывание перехода | Маркер #39
T5 - J | 77 | Маркер иниц. срабатывание перехода | Маркер #38
T5 - J | 78 | Переход завершил работу | Маркер #38
T1 - F | 78 | Переход завершил работу | Маркер #39
T2 - T | 78 | Маркер иниц. срабатывание перехода | Маркер #39
T4 - T | 78 | Маркер иниц. срабатывание перехода | Маркер #39
T4 - T | 79 | Переход завершил работу | Маркер #39
T2 - T | 79 | Переход завершил работу | Маркер #39
T1 - F | 79 | Маркер иниц. срабатывание перехода | Маркер #40
T5 - J | 79 | Маркер иниц. срабатывание перехода | Маркер #39
T5 - J | 80 | Переход завершил работу | Маркер #39
T1 - F | 80 | Переход завершил работу | Маркер #40
T2 - T | 80 | Маркер иниц. срабатывание перехода | Маркер #40
T4 - T | 80 | Маркер иниц. срабатывание перехода | Маркер #40
T4 - T | 81 | Переход завершил работу | Маркер #40
T2 - T | 81 | Переход завершил работу | Маркер #40
T1 - F | 81 | Маркер иниц. срабатывание перехода | Маркер #41
T5 - J | 81 | Маркер иниц. срабатывание перехода | Маркер #40
T5 - J | 82 | Переход завершил работу | Маркер #40
T1 - F | 82 | Переход завершил работу | Маркер #41
T2 - T | 82 | Маркер иниц. срабатывание перехода | Маркер #41
T4 - T | 82 | Маркер иниц. срабатывание перехода | Маркер #41
T4 - T | 83 | Переход завершил работу | Маркер #41
T2 - T | 83 | Переход завершил работу | Маркер #41
T1 - F | 83 | Маркер иниц. срабатывание перехода | Маркер #42
T5 - J | 83 | Маркер иниц. срабатывание перехода | Маркер #41
T5 - J | 84 | Переход завершил работу | Маркер #41
T1 - F | 84 | Переход завершил работу | Маркер #42
T2 - T | 84 | Маркер иниц. срабатывание перехода | Маркер #42
T4 - T | 84 | Маркер иниц. срабатывание перехода | Маркер #42
T4 - T | 85 | Переход завершил работу | Маркер #42
T2 - T | 85 | Переход завершил работу | Маркер #42
T1 - F | 85 | Маркер иниц. срабатывание перехода | Маркер #43
T5 - J | 85 | Маркер иниц. срабатывание перехода | Маркер #42
T5 - J | 86 | Переход завершил работу | Маркер #42
T1 - F | 86 | Переход завершил работу | Маркер #43
T2 - T | 86 | Маркер иниц. срабатывание перехода | Маркер #43
T4 - T | 86 | Маркер иниц. срабатывание перехода | Маркер #43
T4 - T | 87 | Переход завершил работу | Маркер #43
T2 - T | 87 | Переход завершил работу | Маркер #43
T1 - F | 87 | Маркер иниц. срабатывание перехода | Маркер #44
T5 - J | 87 | Маркер иниц. срабатывание перехода | Маркер #43
T5 - J | 88 | Переход завершил работу | Маркер #43
T1 - F | 88 | Переход завершил работу | Маркер #44
T2 - T | 88 | Маркер иниц. срабатывание перехода | Маркер #44
T4 - T | 88 | Маркер иниц. срабатывание перехода | Маркер #44
T4 - T | 89 | Переход завершил работу | Маркер #44
T2 - T | 89 | Переход завершил работу | Маркер #44
T1 - F | 89 | Маркер иниц. срабатывание перехода | Маркер #45
T5 - J | 89 | Маркер иниц. срабатывание перехода | Маркер #44
T5 - J | 90 | Переход завершил работу | Маркер #44
T1 - F | 90 | Переход завершил работу | Маркер #45
T2 - T | 90 | Маркер иниц. срабатывание перехода | Маркер #45
T4 - T | 90 | Маркер иниц. срабатывание перехода | Маркер #45
T4 - T | 91 | Переход завершил работу | Маркер #45
T2 - T | 91 | Переход завершил работу | Маркер #45
T1 - F | 91 | Маркер иниц. срабатывание перехода | Маркер #46
T5 - J | 91 | Маркер иниц. срабатывание перехода | Маркер #45
T5 - J | 92 | Переход завершил работу | Маркер #45
T1 - F | 92 | Переход завершил работу | Маркер #46
T2 - T | 92 | Маркер иниц. срабатывание перехода | Маркер #46
T4 - T | 92 | Маркер иниц. срабатывание перехода | Маркер #46
T4 - T | 93 | Переход завершил работу | Маркер #46
T2 - T | 93 | Переход завершил работу | Маркер #46
T1 - F | 93 | Маркер иниц. срабатывание перехода | Маркер #47
T5 - J | 93 | Маркер иниц. срабатывание перехода | Маркер #46
T5 - J | 94 | Переход завершил работу | Маркер #46
T1 - F | 94 | Переход завершил работу | Маркер #47
T2 - T | 94 | Маркер иниц. срабатывание перехода | Маркер #47
T4 - T | 94 | Маркер иниц. срабатывание перехода | Маркер #47
T4 - T | 95 | Переход завершил работу | Маркер #47
T2 - T | 95 | Переход завершил работу | Маркер #47
T1 - F | 95 | Маркер иниц. срабатывание перехода | Маркер #48
T5 - J | 95 | Маркер иниц. срабатывание перехода | Маркер #47
T5 - J | 96 | Переход завершил работу | Маркер #47
T1 - F | 96 | Переход завершил работу | Маркер #48
T2 - T | 96 | Маркер иниц. срабатывание перехода | Маркер #48
T4 - T | 96 | Маркер иниц. срабатывание перехода | Маркер #48
T4 - T | 97 | Переход завершил работу | Маркер #48
T2 - T | 97 | Переход завершил работу | Маркер #48
T1 - F | 97 | Маркер иниц. срабатывание перехода | Маркер #49
T5 - J | 97 | Маркер иниц. срабатывание перехода | Маркер #48
T5 - J | 98 | Переход завершил работу | Маркер #48
T1 - F | 98 | Переход завершил работу | Маркер #49
T2 - T | 98 | Маркер иниц. срабатывание перехода | Маркер #49
T4 - T | 98 | Маркер иниц. срабатывание перехода | Маркер #49
T4 - T | 99 | Переход завершил работу | Маркер #49
T2 - T | 99 | Переход завершил работу | Маркер #49
T1 - F | 99 | Маркер иниц. срабатывание перехода | Маркер #50
T5 - J | 99 | Маркер иниц. срабатывание перехода | Маркер #49
T5 - J | 100 | Переход завершил работу | Маркер #49
T1 - F | 100 | Переход завершил работу | Маркер #50
T2 - T | 100 | Маркер иниц. срабатывание перехода | Маркер #50
T4 - T | 100 | Маркер иниц. срабатывание перехода | Маркер #50
T4 - T | 101 | Переход завершил работу | Маркер #50
T2 - T | 101 | Переход завершил работу | Маркер #50
T1 - F | 101 | Маркер иниц. срабатывание перехода | Маркер #51
T5 - J | 101 | Маркер иниц. срабатывание перехода | Маркер #50
T5 - J | 102 | Переход завершил работу | Маркер #50
T1 - F | 102 | Переход завершил работу | Маркер #51
T2 - T | 102 | Маркер иниц. срабатывание перехода | Маркер #51
T4 - T | 102 | Маркер иниц. срабатывание перехода | Маркер #51
T4 - T | 103 | Переход завершил работу | Маркер #51
T2 - T | 103 | Переход завершил работу | Маркер #51
T1 - F | 103 | Маркер иниц. срабатывание перехода | Маркер #52
T5 - J | 103 | Маркер иниц. срабатывание перехода | Маркер #51
T5 - J | 104 | Переход завершил работу | Маркер #51
T1 - F | 104 | Переход завершил работу | Маркер #52
T2 - T | 104 | Маркер иниц. срабатывание перехода | Маркер #52
T4 - T | 104 | Маркер иниц. срабатывание перехода | Маркер #52
T4 - T | 105 | Переход завершил работу | Маркер #52
T2 - T | 105 | Переход завершил работу | Маркер #52
T1 - F | 105 | Маркер иниц. срабатывание перехода | Маркер #53
T5 - J | 105 | Маркер иниц. срабатывание перехода | Маркер #52
T5 - J | 106 | Переход завершил работу | Маркер #52
T1 - F | 106 | Переход завершил работу | Маркер #53
T2 - T | 106 | Маркер иниц. срабатывание перехода | Маркер #53
T4 - T | 106 | Маркер иниц. срабатывание перехода | Маркер #53
T4 - T | 107 | Переход завершил работу | Маркер #53
T2 - T | 107 | Переход завершил работу | Маркер #53
T1 - F | 107 | Маркер иниц. срабатывание перехода | Маркер #54
T5 - J | 107 | Маркер иниц. срабатывание перехода | Маркер #53
T5 - J | 108 | Переход завершил работу | Маркер #53
T1 - F | 108 | Переход завершил работу | Маркер #54
T2 - T | 108 | Маркер иниц. срабатывание перехода | Маркер #54
T4 - T | 108 | Маркер иниц. срабатывание перехода | Маркер #54
T4 - T | 109 | Переход завершил работу | Маркер #54
T2 - T | 109 | Переход завершил работу | Маркер #54
T1 - F | 109 | Маркер иниц. срабатывание перехода | Маркер #55
T5 - J | 109 | Маркер иниц. срабатывание перехода | Маркер #54
T5 - J | 110 | Переход завершил работу | Маркер #54
T1 - F | 110 | Переход завершил работу | Маркер #55
T2 - T | 110 | Маркер иниц. срабатывание перехода | Маркер #55
T4 - T | 110 | Маркер иниц. срабатывание перехода | Маркер #55
T4 - T | 111 | Переход завершил работу | Маркер #55
T2 - T | 111 | Переход завершил работу | Маркер #55
T1 - F | 111 | Маркер иниц. срабатывание перехода | Маркер #56
T5 - J | 111 | Маркер иниц. срабатывание перехода | Маркер #55
T5 - J | 112 | Переход завершил работу | Маркер #55
T1 - F | 112 | Переход завершил работу | Маркер #56
T2 - T | 112 | Маркер иниц. срабатывание перехода | Маркер #56
T4 - T | 112 | Маркер иниц. срабатывание перехода | Маркер #56
T4 - T | 113 | Переход завершил работу | Маркер #56
T2 - T | 113 | Переход завершил работу | Маркер #56
T1 - F | 113 | Маркер иниц. срабатывание перехода | Маркер #57
T5 - J | 113 | Маркер иниц. срабатывание перехода | Маркер #56
T5 - J | 114 | Переход завершил работу | Маркер #56
T1 - F | 114 | Переход завершил работу | Маркер #57
T2 - T | 114 | Маркер иниц. срабатывание перехода | Маркер #57
T4 - T | 114 | Маркер иниц. срабатывание перехода | Маркер #57
T4 - T | 115 | Переход завершил работу | Маркер #57
T2 - T | 115 | Переход завершил работу | Маркер #57
T1 - F | 115 | Маркер иниц. срабатывание перехода | Маркер #58
T5 - J | 115 | Маркер иниц. срабатывание перехода | Маркер #57
T5 - J | 116 | Переход завершил работу | Маркер #57
T1 - F | 116 | Переход завершил работу | Маркер #58
T2 - T | 116 | Маркер иниц. срабатывание перехода | Маркер #58
T4 - T | 116 | Маркер иниц. срабатывание перехода | Маркер #58
T4 - T | 117 | Переход завершил работу | Маркер #58
T2 - T | 117 | Переход завершил работу | Маркер #58
T1 - F | 117 | Маркер иниц. срабатывание перехода | Маркер #59
T5 - J | 117 | Маркер иниц. срабатывание перехода | Маркер #58
T5 - J | 118 | Переход завершил работу | Маркер #58
